name,country,mouse,dpi,sens
pgod,Peru,Logitech G Pro X Superlight Black,800,0.617
crow,Japan,VAXEE XE Wireless White,800,0.45
Dep,Japan,Logitech G Pro X Superlight Black,800,0.214
TENNN,Japan,Logitech G Pro X Superlight Red,400,0.55
n9xtz,Brazil,Logitech G Pro X Superlight Magenta,400,3.5
PerX,Germany,Logitech G Pro X Superlight Black,800,0.85
xanarchy,Germany,Razer Deathadder V3 Pro Black,800,0.432
Noahreyli,Switzerland,Logitech G Pro X Superlight Black,1600,0.323
babybay,United States,Logitech G Pro X Superlight Magenta,800,0.244
Bucke,United States,Logitech G Pro Gaming Mouse,400,1.714
Peterbot,United States,SteelSeries Rival 310,800,0.617
BuZz,South Korea,ZOWIE S2,400,0.57
nAts,Russia,ZOWIE S2,800,0.49
FreeZe,Germany,Logitech G Pro X Superlight Black,400,1.45
awzek,Greece,Logitech G Pro X Superlight Black,400,1.59
stavros,Germany,Logitech G Pro X Superlight White,1600,0.19
Ambi,Czechia,Logitech G Pro X Superlight White,400,0.41
bucher,Germany,Logitech G Pro X Superlight Black,800,0.175
Felix,Germany,Logitech G Pro X Superlight Black,800,0.34
Setty,Poland,Razer Viper V2 Pro Black,800,0.617
KEi,Poland,Logitech G703,400,1.7
Spiidi,Germany,Logitech G Pro X Superlight Black,800,0.8
Foxy9,South Korea,Logitech G Pro X Superlight Magenta,800,0.3
Rb,South Korea,Logitech G Pro X Superlight Red,800,0.35
itsJerian,United States,Logitech G Pro X Superlight Black,800,0.617
stax,South Korea,Logitech G Pro X Superlight Red,400,0.42
MaKo,South Korea,ZOWIE EC2-CW,400,0.45
Malibuca,Russia,Logitech G Pro X Superlight Black,800,0.617
aspas,Brazil,Logitech G Pro X Superlight White,800,0.4
iiTzTimmy,United States,Logitech G Pro X Superlight Black,1800,1.1
Zest,South Korea,ZOWIE EC2-CW,400,0.56
Martoz,Netherlands,Logitech G Pro Wireless,800,0.617
Reps,United States,Logitech G305,400,1.8
Crylix,Japan,Logitech G Pro X Superlight Black,800,1.1
Kylar,Poland,Logitech G Pro Wireless,800,0.8
mynio,Poland,Logitech G703,800,1.13
hades,Poland,ZOWIE EC2-CW,400,2.3
Goofy,Poland,Logitech G Pro X Superlight Black,800,0.8
Jamppi,Finland,VAXEE OUTSET AX Yellow,800,0.42
dumau,Brazil,Logitech G Pro X Superlight White,800,1.01
TACO,Brazil,ZOWIE FK2,400,1.5
Sayf,Sweden,Logitech G Pro X Superlight Black,400,0.5
POACH,United States,Logitech G Pro X Superlight Black,800,0.28
dimasick,Kazakhstan,Logitech G Pro X Superlight Black,400,0.75
Redgar,Russia,Logitech G Pro X Superlight White,800,0.5
dicey,United States,Logitech G Pro X Superlight Magenta,1600,0.135
